Campaign_ID,Channel,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions
1,Online,2022-07-17,2022-08-09,915.88,78039,2397,101
2,In-Store,2022-08-08,2022-08-30,1438.16,309374,9049,1145
3,TV,2024-09-30,2024-10-23,7162.48,144185,897,16
4,In-Store,2022-05-26,2022-06-02,6729.62,496750,18227,1633
5,Social,2025-08-01,2025-08-09,5801.19,476842,25404,1070
6,Social,2022-04-30,2022-05-26,5525.7,394984,10123,387
7,Online,2023-03-19,2023-04-11,1461.64,131119,6805,375
8,In-Store,2024-12-13,2025-01-10,5915.26,103794,2776,408
9,TV,2022-08-05,2022-09-01,3900.65,250501,5652,153
10,In-Store,2022-08-02,2022-08-14,5724.67,274604,5526,546
11,Social,2025-05-13,2025-06-03,9073.61,298401,29636,1170
12,Email,2024-02-01,2024-02-21,8348.47,179581,18498,2279
13,TV,2023-03-15,2023-04-03,9298.4,143215,2005,56
14,Online,2024-03-24,2024-03-31,9838.09,322351,6762,343
15,Social,2023-09-11,2023-09-18,9851.75,122629,10847,231
16,TV,2025-11-13,2025-11-28,5357.08,309194,8703,140
17,Social,2022-03-19,2022-04-09,1983.02,148930,7352,403
18,Social,2023-04-23,2023-05-08,1373.1,219609,14389,475
19,Social,2022-06-08,2022-07-08,8032.59,100650,5944,439
20,TV,2025-03-26,2025-04-05,6601.42,29593,688,22
21,Social,2022-06-10,2022-06-18,3805.34,438417,24000,1819
22,TV,2022-09-04,2022-09-18,9322.21,342339,8365,211
23,Online,2023-09-17,2023-10-10,3533.51,306177,8871,711
24,Online,2023-03-29,2023-04-09,6899.53,215983,16903,1694
25,Online,2025-03-24,2025-04-16,2609.81,161929,10878,563
26,Email,2023-11-20,2023-11-29,5928.69,35853,3433,288
27,Email,2024-03-27,2024-04-19,7851.34,78354,9515,1070
28,Email,2023-02-10,2023-03-04,6696.36,112812,10981,1972
29,In-Store,2024-12-09,2024-12-23,1180.62,417252,9555,1549
30,Online,2025-03-25,2025-04-03,6881.6,232057,9726,537
31,Online,2023-12-07,2024-01-02,7811.97,98738,7825,698
32,In-Store,2024-06-24,2024-07-20,4684.4,494553,17084,1776
33,Online,2024-02-05,2024-02-16,1567.53,38593,1334,119
34,Online,2022-10-30,2022-11-15,3761.08,431674,11515,875
35,In-Store,2022-02-16,2022-03-05,7530.12,121083,1951,278
36,Email,2023-06-14,2023-07-08,6418.9,84106,9538,1305
37,TV,2024-02-11,2024-03-07,913.08,99296,645,11
38,Social,2025-11-27,2025-12-23,1004.31,353281,33778,810
39,Social,2025-09-14,2025-09-29,8710.68,20002,868,63
40,Email,2024-03-02,2024-03-16,5331.13,382081,16029,1458
41,Online,2025-05-07,2025-05-31,2270.97,272485,21255,1803
42,In-Store,2022-02-14,2022-02-22,9261.57,169869,3398,432
43,Social,2022-11-18,2022-11-25,7000.96,196320,13746,469
44,Online,2024-10-23,2024-11-07,6445.03,470679,20347,2441
45,Social,2022-03-02,2022-03-26,2643.04,189194,17363,1031
46,Email,2022-06-29,2022-07-29,5446.82,365464,37823,4966
47,In-Store,2023-04-11,2023-05-01,5942.54,233590,9137,1728
48,TV,2023-11-06,2023-11-27,1751.84,352083,2980,94
49,Social,2023-02-19,2023-03-02,7041.05,481147,29785,837
50,TV,2022-10-25,2022-11-21,9212.57,176459,1181,36
51,Social,2022-08-31,2022-09-12,8475.46,86295,6745,444
52,Social,2024-04-27,2024-05-17,4708.54,499563,42830,2493
53,In-Store,2023-07-15,2023-07-26,1514.33,106860,1152,228
54,TV,2025-06-17,2025-07-02,5886.91,131064,2609,50
55,Online,2022-02-23,2022-03-13,7037.34,259876,7288,784
56,Social,2024-08-18,2024-09-16,2247.78,213140,12642,357
57,Online,2023-01-31,2023-02-14,4381.6,17871,1349,156
58,In-Store,2023-04-01,2023-05-01,7698.88,44674,684,133
59,Email,2024-06-18,2024-07-14,7034.7,464439,39433,3236
60,TV,2024-04-09,2024-04-17,7485.65,209425,4817,124
61,TV,2025-03-17,2025-04-12,5489.69,469162,10604,122
62,Email,2022-08-12,2022-09-02,8356.6,32238,4362,357
63,Online,2025-01-06,2025-01-25,5798.16,280599,18494,2163
64,Email,2023-01-24,2023-02-09,4281.38,169674,20842,1816
65,Social,2022-12-07,2022-12-27,6324.78,38598,2902,215
66,Email,2024-08-07,2024-09-03,1359.19,272488,11875,1795
67,In-Store,2025-11-26,2025-12-20,4234.13,179586,4225,428
68,In-Store,2025-04-23,2025-05-22,8884.21,57280,1002,163
69,Online,2022-12-02,2022-12-31,1366.32,380266,17858,1232
70,Email,2024-12-08,2025-01-06,7405.3,278260,28785,2037
71,Online,2025-02-01,2025-02-20,7798.47,488283,19585,2148
72,In-Store,2022-11-04,2022-11-16,2199.23,383317,4423,517
73,In-Store,2024-07-02,2024-07-18,1616.76,78981,3065,246
74,Email,2023-06-03,2023-06-10,5227.46,271432,25845,1311
75,In-Store,2024-10-07,2024-10-21,6094.19,259410,6125,814
76,Online,2025-05-16,2025-06-11,2824.78,296964,10894,983
77,In-Store,2023-03-02,2023-03-10,1908.43,352505,7215,703
78,TV,2022-03-08,2022-04-05,8461.14,166469,2210,29
