Customer_ID,Number_Of_Purchases,Total_Quantity,Sales_Revenue,Average_Purchase,Age,Gender,Location,Join_Date,Total_Spent
2001,17,57,2260.24,132.95529411764704,24,Female,Philadelphia,2022-03-20,7885.34
2002,14,39,1534.7,109.62142857142858,45,Male,San Antonio,2023-10-05,4405.6
2003,16,55,2705.74,169.10875,34,Male,Jacksonville,2023-01-25,9575.37
2004,10,28,1319.82,131.982,18,Male,Philadelphia,2024-06-12,3681.7
2005,14,52,1788.25,127.73214285714286,22,Female,San Jose,2024-06-02,7154.34
2006,21,63,3025.77,144.08428571428573,60,Male,Jacksonville,2023-10-05,9037.23
2007,13,38,1597.25,122.86538461538461,50,Female,Austin,2023-09-08,5160.66
2008,12,32,1857.41,154.78416666666666,38,Female,Jacksonville,2024-04-16,4752.28
2009,18,58,2079.79,115.54388888888889,53,Male,Houston,2023-08-29,6476.38
2010,10,27,1190.78,119.078,60,Female,Austin,2024-05-11,3227.72
2011,18,48,2597.46,144.30333333333334,57,Female,San Antonio,2022-12-23,6931.03
2012,12,31,1618.38,134.865,37,Female,Houston,2022-01-01,3974.63
2013,18,52,2631.61,146.20055555555555,68,Female,San Diego,2024-05-30,7488.84
2014,8,23,1018.21,127.27625,46,Male,Dallas,2024-06-23,2903.46
2015,21,62,3440.8,163.84761904761905,68,Male,Austin,2024-08-27,10080.72
2016,19,61,2529.29,133.12052631578948,36,Female,Los Angeles,2022-06-23,7967.68
2017,8,31,884.94,110.6175,61,Female,Houston,2023-04-27,3364.54
2018,14,40,2245.36,160.38285714285715,27,Male,New York,2023-02-12,6912.9
2019,17,36,2325.76,136.80941176470589,48,Male,San Diego,2023-05-17,4610.65
2020,20,66,3014.42,150.721,58,Male,Jacksonville,2024-04-28,9899.56
2021,14,35,1609.44,114.96000000000001,49,Female,Houston,2024-02-26,3532.35
2022,10,24,1508.51,150.851,59,Male,Los Angeles,2022-10-30,3669.03
2023,21,57,3400.63,161.9347619047619,32,Male,Jacksonville,2024-05-20,9219.77
2024,17,54,2555.01,150.29470588235296,47,Male,Dallas,2024-11-26,8511.3
2025,15,53,2229.59,148.63933333333335,25,Female,Chicago,2023-05-26,7441.21
2026,20,58,2696.08,134.804,60,Female,San Diego,2024-08-09,8047.85
2027,16,54,2782.01,173.875625,45,Female,Chicago,2024-10-30,9474.7
2028,8,23,970.67,121.33375,46,Female,Houston,2024-08-30,2419.93
2029,18,44,2701.17,150.065,67,Female,Austin,2023-07-22,6712.37
2030,13,33,2007.46,154.42000000000002,35,Female,Los Angeles,2023-05-05,4769.95
2031,14,41,2076.93,148.35214285714284,33,Female,Philadelphia,2023-08-09,5654.06
2032,14,48,2094.69,149.62071428571429,52,Male,Chicago,2023-10-17,6504.94
2033,18,58,2522.08,140.11555555555555,32,Female,Jacksonville,2022-11-05,8356.26
2034,14,45,1977.97,141.28357142857143,63,Male,Los Angeles,2022-11-09,5994.29
2035,16,49,2424.64,151.54,44,Female,Dallas,2024-04-29,7209.95
2036,12,46,1690.81,140.90083333333334,44,Male,Houston,2024-08-12,7057.32
2037,20,64,2688.94,134.447,42,Male,San Jose,2024-05-10,8536.53
2038,15,42,2168.38,144.55866666666668,48,Male,Philadelphia,2024-02-19,5838.24
2039,21,67,3312.0299999999997,157.71571428571428,66,Female,San Antonio,2023-09-04,10863.53
2040,14,35,1513.66,108.11857142857143,49,Male,Phoenix,2023-03-28,3223.75
2041,18,57,2243.06,124.61444444444444,49,Male,San Antonio,2024-06-11,7133.39
2042,20,61,2685.65,134.2825,60,Female,Jacksonville,2023-11-20,8559.12
2043,15,50,2206.81,147.12066666666666,47,Male,San Jose,2022-12-05,7430.13
2044,19,55,2640.99,138.99947368421053,19,Female,San Jose,2024-12-29,7496.43
2045,10,30,1724.9,172.49,23,Female,Chicago,2022-02-25,5159.07
2046,14,34,1778.7,127.05,29,Male,Phoenix,2024-08-03,4206.27
2047,12,37,1619.67,134.9725,38,Male,San Diego,2024-02-16,5221.68
2048,10,31,1633.99,163.399,39,Female,Phoenix,2023-11-01,5026.01
2049,18,44,2445.63,135.86833333333334,34,Male,San Diego,2024-05-13,5271.32
2050,12,30,1872.71,156.05916666666667,65,Male,Philadelphia,2022-02-09,4450.31
2051,12,39,1184.02,98.66833333333334,59,Male,Austin,2023-04-05,3936.64
2052,23,71,3177.12,138.13565217391303,66,Male,Houston,2022-03-24,10278.26
2053,10,33,1211.33,121.133,19,Male,Houston,2023-02-13,3941.63
2054,9,22,983.0500000000001,109.22777777777779,48,Male,San Jose,2022-09-16,2331.43
2055,20,62,2735.56,136.778,47,Female,Philadelphia,2023-03-23,8142.14
2056,15,45,1683.74,112.24933333333334,56,Male,Chicago,2022-12-10,4518.29
2057,14,40,1900.62,135.75857142857143,24,Male,Phoenix,2023-09-30,6033.67
2058,12,37,1938.9,161.57500000000002,43,Male,Los Angeles,2024-02-08,6206.53
