Campaign_ID,Channel,Start_Date,End_Date,Budget,Impressions,Clicks,Conversions
1,Email,2023-03-02,2023-03-26,1634.11,15426,1457,66
2,TV,2022-09-23,2022-10-09,7005.98,332422,18753,1398
3,Email,2023-06-02,2023-06-21,4266.82,434233,36586,4465
4,In-Store,2022-03-04,2022-03-21,2637.48,165683,5668,1088
5,Email,2023-06-10,2023-07-05,6673.47,160609,3097,122
6,In-Store,2024-02-18,2024-03-01,959.77,293574,20166,3480
7,Online,2024-12-23,2025-01-18,2870.56,143516,13291,657
8,Email,2022-02-18,2022-03-18,6097.6,441393,5159,331
9,Email,2023-10-21,2023-10-28,3243.94,196067,9008,871
10,In-Store,2025-05-11,2025-05-19,864.3,51749,3317,589
11,Online,2022-07-03,2022-07-20,1763.81,167531,1895,130
12,In-Store,2023-10-04,2023-10-31,4833.63,279499,20139,2922
13,Email,2024-08-04,2024-08-24,5414.06,453341,8335,1383
14,In-Store,2024-07-08,2024-08-07,9571.07,309168,23759,1319
15,In-Store,2023-04-09,2023-04-23,8375.17,238531,22535,2947
16,Email,2022-02-10,2022-02-19,5738.4,144478,11802,1187
17,TV,2022-06-21,2022-07-11,8753.67,386065,27087,1396
18,TV,2024-01-16,2024-01-24,7447.9,157504,2501,146
19,In-Store,2023-09-21,2023-09-30,6545.0,470412,46672,8391
20,Email,2025-07-31,2025-08-20,4001.72,83690,2433,326
21,In-Store,2024-01-27,2024-02-25,8985.51,199794,7058,1091
22,Email,2025-09-11,2025-09-19,2593.62,408096,23974,3661
23,TV,2024-07-20,2024-08-17,2148.48,146476,5455,159
24,Social,2024-11-16,2024-12-12,2142.41,277457,25203,1023
25,Social,2025-10-23,2025-11-05,8359.87,121159,4915,819
26,TV,2023-01-04,2023-01-21,6481.11,439126,21376,3618
27,TV,2025-09-30,2025-10-20,8157.98,348962,3562,515
28,Social,2022-06-23,2022-07-07,7930.62,275700,9797,1450
29,Social,2022-05-30,2022-06-13,7520.24,144907,11551,1194
30,TV,2025-06-20,2025-06-29,5278.41,395475,15248,1332
31,Social,2022-10-11,2022-11-08,2974.15,407521,16756,3151
32,Email,2024-05-05,2024-06-03,3837.55,78755,1208,158
33,Email,2022-08-11,2022-08-21,6430.24,420128,31501,5003
34,Online,2023-03-24,2023-04-20,4676.48,182069,5727,115
35,Social,2023-10-09,2023-11-02,3092.28,172202,5254,827
36,Online,2023-07-10,2023-07-21,5696.97,370686,14396,2031
37,Social,2025-04-11,2025-04-23,7906.46,393435,30639,1205
38,In-Store,2022-04-08,2022-04-30,5821.91,137368,1560,270
39,In-Store,2025-04-06,2025-04-13,8566.76,135773,10632,1425
40,Social,2023-01-17,2023-02-16,6416.17,471337,21188,519
