Product_ID,Product_Name,Category,Price,Brand
101,T-shirt 1,Clothing,187.97,Brand D
102,Boots 2,Footwear,186.75,Brand I
103,Blouse 3,Clothing,111.26,Brand A
104,Hoodie 4,Clothing,65.84,Brand J
105,Pants 5,Clothing,57.72,Brand I
106,Scarf 6,Accessories,117.81,Brand E
107,Jeans 7,Clothing,177.55,Brand F
108,Coat 8,Outerwear,61.68,Brand F
109,Shirt 9,Clothing,101.18,Brand F
110,Windbreaker 10,Outerwear,73.49,Brand A
111,Cap 11,Accessories,243.55,Brand G
112,Pants 12,Clothing,80.36,Brand J
113,Windbreaker 13,Outerwear,56.15,Brand B
114,Hoodie 14,Clothing,195.54,Brand B
115,Sneakers 15,Footwear,101.23,Brand H
116,Coat 16,Outerwear,98.84,Brand D
117,Jacket 17,Outerwear,156.19,Brand C
118,Boots 18,Footwear,120.94,Brand E
119,Sandals 19,Footwear,212.28,Brand A
120,Sneakers 20,Footwear,203.21,Brand G
121,Jacket 21,Outerwear,60.64,Brand J
122,Coat 22,Outerwear,167.31,Brand G
123,Belt 23,Accessories,73.57,Brand D
124,Windbreaker 24,Outerwear,112.82,Brand J
125,Handbag 25,Accessories,62.64,Brand C
126,Cap 26,Accessories,191.39,Brand B
127,Boots 27,Footwear,200.1,Brand G
128,Skirt 28,Clothing,101.59,Brand H
129,Windbreaker 29,Outerwear,216.59,Brand A
130,Pants 30,Clothing,190.21,Brand F
131,Sweater 31,Clothing,114.34,Brand H
132,Sweater 32,Clothing,243.25,Brand C
133,Sweater 33,Clothing,212.0,Brand I
134,Boots 34,Footwear,99.74,Brand C
135,Blouse 35,Clothing,87.8,Brand A
136,Dress 36,Clothing,220.89,Brand E
137,Sneakers 37,Footwear,67.81,Brand J
138,Shirt 38,Clothing,185.66,Brand B
139,Boots 39,Footwear,168.34,Brand I
140,Sandals 40,Footwear,136.64,Brand J
141,Scarf 41,Accessories,232.94,Brand D
142,Raincoat 42,Outerwear,248.84,Brand F
143,Sunglasses 43,Accessories,39.04,Brand D
144,Dress 44,Clothing,15.05,Brand I
145,Casual Shoes 45,Footwear,62.85,Brand B
146,Hoodie 46,Clothing,26.18,Brand A
147,Jacket 47,Outerwear,133.4,Brand E
148,Scarf 48,Accessories,139.42,Brand J
149,Scarf 49,Accessories,198.31,Brand G
150,Sneakers 50,Footwear,33.26,Brand G
151,Raincoat 51,Outerwear,108.66,Brand A
152,T-shirt 52,Clothing,106.63,Brand F
153,Hoodie 53,Clothing,55.98,Brand I
154,Belt 54,Accessories,111.25,Brand E
155,Scarf 55,Accessories,219.88,Brand B
156,Cap 56,Accessories,22.14,Brand I
157,Shirt 57,Clothing,232.33,Brand D
158,Running Shoes 58,Footwear,126.55,Brand D
159,Hat 59,Accessories,49.51,Brand A
160,Backpack 60,Accessories,232.36,Brand H
161,Raincoat 61,Outerwear,177.18,Brand I
162,Belt 62,Accessories,55.58,Brand D
163,Blouse 63,Clothing,186.58,Brand A
164,Jacket 64,Outerwear,22.03,Brand H
165,Sneakers 65,Footwear,240.59,Brand B
166,Sneakers 66,Footwear,152.81,Brand D
167,Cap 67,Accessories,235.98,Brand J
168,Casual Shoes 68,Footwear,152.68,Brand J
169,Skirt 69,Clothing,167.77,Brand J
170,Blazer 70,Outerwear,59.02,Brand F
171,Sandals 71,Footwear,104.99,Brand E
172,Handbag 72,Accessories,232.96,Brand B
173,Shorts 73,Clothing,159.08,Brand J
174,Shirt 74,Clothing,139.03,Brand I
175,Coat 75,Outerwear,233.98,Brand B
176,Sandals 76,Footwear,78.4,Brand H
177,Windbreaker 77,Outerwear,246.12,Brand I
178,Pants 78,Clothing,81.85,Brand B
179,Sandals 79,Footwear,37.7,Brand B
180,Sandals 80,Footwear,77.62,Brand D
181,Coat 81,Outerwear,175.0,Brand E
182,Backpack 82,Accessories,227.28,Brand A
183,Skirt 83,Clothing,209.04,Brand A
184,Dress 84,Clothing,195.07,Brand E
185,Running Shoes 85,Footwear,142.4,Brand G
186,Shirt 86,Clothing,28.06,Brand C
187,Dress 87,Clothing,149.8,Brand C
188,Belt 88,Accessories,20.04,Brand F
189,Dress 89,Clothing,60.42,Brand D
190,Dress 90,Clothing,197.23,Brand G
191,Boots 91,Footwear,217.51,Brand C
192,Hat 92,Accessories,53.05,Brand F
193,Scarf 93,Accessories,74.03,Brand B
194,Hat 94,Accessories,216.06,Brand D
195,Running Shoes 95,Footwear,93.92,Brand D
196,Sneakers 96,Footwear,168.41,Brand G
197,Blazer 97,Outerwear,217.44,Brand E
198,Windbreaker 98,Outerwear,105.92,Brand I
199,Jacket 99,Outerwear,37.68,Brand E
200,Casual Shoes 100,Footwear,241.01,Brand E
