Sale_ID,Product_ID,Customer_ID,Date,Quantity,Sale_Price,Channel,Revenue
1,200,2799,2025-05-31,5,241.01,In-Store,241.01
2,119,2596,2025-04-16,4,212.28,In-Store,212.28
3,177,2978,2025-01-09,2,246.12,In-Store,246.12
4,159,2683,2025-08-03,3,49.51,In-Store,49.51
5,190,2562,2025-04-19,2,197.23,Online,197.23
6,184,2130,2025-08-12,5,195.07,In-Store,195.07
7,137,2803,2025-11-16,5,67.81,In-Store,67.81
8,153,2368,2025-10-01,5,55.98,Online,55.98
9,162,2699,2024-04-27,2,55.58,In-Store,55.58
10,171,2685,2025-08-14,3,104.99,Online,104.99
11,137,2634,2025-12-30,2,67.81,In-Store,67.81
12,193,2721,2024-10-10,3,74.03,In-Store,74.03
13,159,2669,2025-12-10,4,49.51,In-Store,49.51
14,171,2182,2025-11-25,4,104.99,Online,104.99
15,105,2968,2025-06-20,1,57.72,Online,57.72
16,133,2139,2024-08-13,2,212.0,Online,212.0
17,134,2622,2025-11-11,1,99.74,Online,99.74
18,102,2341,2023-09-24,2,186.75,In-Store,186.75
19,168,2917,2024-06-01,2,152.68,Online,152.68
20,167,2758,2025-07-28,3,235.98,Online,235.98
21,124,2842,2025-08-03,1,112.82,In-Store,112.82
22,109,2888,2025-07-04,1,101.18,Online,101.18
23,110,2447,2025-09-30,5,73.49,In-Store,73.49
24,193,2113,2023-10-13,5,74.03,In-Store,74.03
25,143,2143,2025-10-21,1,39.04,In-Store,39.04
26,151,2292,2025-01-05,4,108.66,In-Store,108.66
27,174,2972,2024-12-10,1,139.03,Online,139.03
28,164,2667,2023-12-11,2,22.03,In-Store,22.03
29,158,2694,2023-08-30,3,126.55,Online,126.55
30,149,2559,2024-01-17,3,198.31,In-Store,198.31
31,199,2265,2024-07-11,1,37.68,Online,37.68
32,175,2282,2023-03-16,5,233.98,Online,233.98
33,120,2632,2025-06-19,1,203.21,In-Store,203.21
34,130,2638,2024-12-16,5,190.21,In-Store,190.21
35,153,2689,2023-03-29,2,55.98,In-Store,55.98
36,135,2245,2024-05-14,3,87.8,In-Store,87.8
37,106,2770,2023-11-05,1,117.81,Online,117.81
38,143,2755,2024-04-13,5,39.04,Online,39.04
39,141,2805,2024-06-25,4,232.94,In-Store,232.94
40,188,2408,2024-11-21,3,20.04,Online,20.04
41,195,2548,2023-01-25,5,93.92,Online,93.92
42,184,2733,2025-05-29,2,195.07,In-Store,195.07
43,107,2211,2024-11-09,5,177.55,In-Store,177.55
44,153,2165,2023-09-09,3,55.98,Online,55.98
45,191,2416,2024-10-06,3,217.51,In-Store,217.51
46,157,2267,2024-06-18,3,232.33,Online,232.33
47,105,2485,2025-10-24,5,57.72,Online,57.72
48,160,2635,2023-09-09,3,232.36,In-Store,232.36
49,113,2857,2025-04-02,5,56.15,Online,56.15
50,190,2013,2024-07-09,3,197.23,In-Store,197.23
51,107,2830,2022-10-23,4,177.55,In-Store,177.55
52,168,2593,2024-09-06,1,152.68,In-Store,152.68
53,193,2456,2025-08-27,5,74.03,In-Store,74.03
54,153,2635,2025-10-10,1,55.98,In-Store,55.98
55,198,2629,2025-10-25,2,105.92,In-Store,105.92
56,157,2297,2025-06-21,1,232.33,Online,232.33
57,189,2063,2024-10-28,5,60.42,Online,60.42
58,104,2067,2025-08-03,1,65.84,Online,65.84
59,181,2631,2025-12-02,2,175.0,In-Store,175.0
60,179,2577,2024-06-03,2,37.7,In-Store,37.7
61,141,2634,2025-12-23,1,232.94,Online,232.94
62,149,2510,2023-11-09,4,198.31,In-Store,198.31
63,164,2127,2024-12-16,1,22.03,Online,22.03
64,145,2320,2023-01-28,2,62.85,In-Store,62.85
65,137,2263,2025-10-09,1,67.81,Online,67.81
66,135,2839,2025-12-06,3,87.8,In-Store,87.8
67,138,2489,2024-10-25,4,185.66,In-Store,185.66
68,189,2123,2024-08-19,3,60.42,Online,60.42
69,161,2296,2025-07-01,1,177.18,Online,177.18
70,173,2689,2025-12-23,1,159.08,Online,159.08
71,180,2352,2025-08-15,1,77.62,In-Store,77.62
72,181,2889,2024-10-27,1,175.0,In-Store,175.0
73,129,2654,2025-10-28,3,216.59,Online,216.59
74,141,2621,2024-07-15,4,232.94,In-Store,232.94
75,134,2383,2025-03-27,1,99.74,In-Store,99.74
76,183,2650,2024-08-04,5,209.04,Online,209.04
77,169,2095,2023-01-24,4,167.77,In-Store,167.77
78,155,2852,2023-11-21,3,219.88,In-Store,219.88
79,155,2913,2022-09-25,5,219.88,Online,219.88
80,157,2270,2025-01-12,1,232.33,Online,232.33
81,173,2461,2025-07-31,5,159.08,In-Store,159.08
82,105,2702,2025-08-29,5,57.72,Online,57.72
83,198,2563,2024-06-05,2,105.92,In-Store,105.92
84,154,2362,2023-08-14,4,111.25,Online,111.25
85,153,2649,2022-12-15,2,55.98,Online,55.98
86,171,2418,2023-12-17,2,104.99,Online,104.99
87,177,2334,2023-05-25,5,246.12,Online,246.12
88,152,2136,2025-11-24,5,106.63,In-Store,106.63
89,123,2100,2025-08-21,1,73.57,In-Store,73.57
90,129,2170,2022-12-22,3,216.59,Online,216.59
91,161,2842,2024-08-16,5,177.18,In-Store,177.18
92,153,2678,2025-01-15,3,55.98,Online,55.98
93,200,2303,2024-03-23,1,241.01,In-Store,241.01
94,115,2113,2025-12-03,1,101.23,Online,101.23
95,197,2593,2024-11-16,4,217.44,In-Store,217.44
96,104,2212,2024-10-25,5,65.84,In-Store,65.84
97,195,2024,2025-11-16,5,93.92,Online,93.92
98,109,2830,2025-05-06,5,101.18,In-Store,101.18
99,193,2213,2025-03-31,4,74.03,Online,74.03
100,193,2689,2022-07-15,3,74.03,Online,74.03
101,181,2697,2024-01-16,4,175.0,In-Store,175.0
102,188,2152,2025-03-28,2,20.04,In-Store,20.04
103,190,2913,2025-05-12,4,197.23,In-Store,197.23
104,186,2934,2024-04-14,3,28.06,In-Store,28.06
105,106,2365,2023-08-27,2,117.81,Online,117.81
106,153,2470,2024-02-09,2,55.98,Online,55.98
107,162,2637,2025-02-10,1,55.58,Online,55.58
108,185,2712,2023-01-27,5,142.4,Online,142.4
109,195,2734,2025-12-29,5,93.92,In-Store,93.92
110,144,2055,2025-05-18,5,15.05,Online,15.05
111,173,2935,2022-04-30,5,159.08,In-Store,159.08
112,183,2427,2025-03-15,5,209.04,In-Store,209.04
113,139,2430,2025-07-29,2,168.34,In-Store,168.34
114,150,2233,2024-11-19,2,33.26,In-Store,33.26
115,186,2738,2024-09-16,4,28.06,Online,28.06
116,110,2505,2025-05-19,3,73.49,Online,73.49
117,109,2496,2025-12-22,2,101.18,Online,101.18
118,194,2231,2025-07-13,2,216.06,In-Store,216.06
119,187,2600,2023-10-22,2,149.8,Online,149.8
120,185,2559,2025-09-02,3,142.4,Online,142.4
121,147,2850,2023-06-04,4,133.4,Online,133.4
122,176,2561,2022-08-04,3,78.4,In-Store,78.4
123,141,2144,2024-06-17,1,232.94,Online,232.94
124,159,2104,2025-05-12,3,49.51,In-Store,49.51
125,124,2833,2024-10-20,4,112.82,Online,112.82
126,129,2323,2023-04-27,3,216.59,Online,216.59
127,138,2127,2025-11-22,5,185.66,In-Store,185.66
128,109,2131,2023-08-22,5,101.18,Online,101.18
129,173,2218,2024-04-14,4,159.08,In-Store,159.08
130,172,2281,2025-10-19,1,232.96,In-Store,232.96
131,185,2495,2025-05-30,2,142.4,In-Store,142.4
132,108,2551,2024-07-30,3,61.68,In-Store,61.68
133,167,2439,2025-10-16,4,235.98,Online,235.98
134,197,2882,2025-05-14,2,217.44,In-Store,217.44
135,121,2415,2024-01-08,2,60.64,Online,60.64
136,104,2978,2024-10-04,3,65.84,Online,65.84
137,154,2355,2024-11-09,2,111.25,Online,111.25
138,104,2760,2024-04-28,5,65.84,Online,65.84
139,107,2817,2025-10-18,2,177.55,In-Store,177.55
140,165,2420,2025-12-28,3,240.59,Online,240.59
141,195,2480,2025-04-25,4,93.92,In-Store,93.92
142,117,2234,2024-12-17,5,156.19,Online,156.19
143,191,2213,2025-07-06,1,217.51,Online,217.51
144,156,2801,2023-05-08,2,22.14,Online,22.14
145,190,2346,2024-10-28,5,197.23,Online,197.23
146,136,2127,2025-09-16,2,220.89,Online,220.89
147,168,2863,2023-11-24,3,152.68,Online,152.68
148,141,2207,2025-04-16,4,232.94,Online,232.94
149,160,2947,2025-12-10,3,232.36,Online,232.36
150,126,2837,2024-12-29,4,191.39,In-Store,191.39
151,194,2352,2025-01-03,2,216.06,Online,216.06
152,189,2652,2025-03-29,5,60.42,Online,60.42
153,122,2730,2025-09-12,2,167.31,In-Store,167.31
154,178,2818,2023-06-09,3,81.85,In-Store,81.85
155,178,2795,2024-12-30,5,81.85,Online,81.85
156,158,2428,2024-07-02,4,126.55,In-Store,126.55
157,169,2979,2024-11-18,1,167.77,Online,167.77
158,197,2781,2024-07-20,5,217.44,In-Store,217.44
159,104,2198,2024-09-15,5,65.84,Online,65.84
160,106,2851,2025-01-05,4,117.81,Online,117.81
161,114,2698,2025-11-25,5,195.54,Online,195.54
162,105,2543,2022-10-17,4,57.72,Online,57.72
163,117,2937,2025-12-17,5,156.19,Online,156.19
164,164,2140,2025-12-06,4,22.03,In-Store,22.03
165,170,2447,2024-12-21,1,59.02,In-Store,59.02
166,142,2786,2024-12-28,4,248.84,In-Store,248.84
167,199,2849,2024-08-28,5,37.68,Online,37.68
168,184,2303,2025-04-18,2,195.07,In-Store,195.07
169,193,2098,2025-06-21,2,74.03,Online,74.03
170,187,2544,2024-05-11,5,149.8,In-Store,149.8
171,110,2255,2024-08-17,2,73.49,Online,73.49
172,161,2766,2025-09-11,1,177.18,Online,177.18
173,143,2659,2024-11-04,1,39.04,In-Store,39.04
174,151,2638,2024-10-02,3,108.66,In-Store,108.66
175,180,2936,2025-01-25,1,77.62,Online,77.62
176,184,2276,2025-08-29,5,195.07,In-Store,195.07
177,126,2731,2024-10-01,5,191.39,In-Store,191.39
178,128,2490,2025-01-04,3,101.59,In-Store,101.59
179,114,2388,2025-04-30,2,195.54,In-Store,195.54
180,104,2088,2025-10-07,5,65.84,In-Store,65.84
181,194,2131,2023-03-02,3,216.06,In-Store,216.06
182,118,2900,2023-07-26,3,120.94,In-Store,120.94
183,164,2302,2024-12-19,2,22.03,Online,22.03
184,151,2966,2024-10-09,4,108.66,Online,108.66
185,127,2524,2022-10-13,2,200.1,In-Store,200.1
186,140,2359,2025-01-01,5,136.64,Online,136.64
187,170,2671,2023-09-13,4,59.02,Online,59.02
188,170,2292,2023-05-09,2,59.02,In-Store,59.02
189,173,2560,2025-07-16,4,159.08,Online,159.08
190,105,2492,2024-07-21,3,57.72,Online,57.72
191,119,2368,2025-04-09,1,212.28,Online,212.28
192,129,2926,2025-03-23,4,216.59,In-Store,216.59
193,145,2206,2023-06-26,2,62.85,In-Store,62.85
194,133,2199,2025-04-22,1,212.0,Online,212.0
195,147,2883,2025-05-31,3,133.4,Online,133.4
196,155,2020,2024-06-01,5,219.88,Online,219.88
197,109,2568,2023-09-26,1,101.18,In-Store,101.18
198,171,2904,2024-09-05,1,104.99,Online,104.99
199,177,2166,2023-11-09,3,246.12,In-Store,246.12
200,183,2278,2024-04-18,4,209.04,In-Store,209.04
201,160,2223,2025-08-28,2,232.36,Online,232.36
202,172,2186,2024-05-28,1,232.96,In-Store,232.96
203,134,2592,2025-06-12,5,99.74,In-Store,99.74
204,116,2608,2025-05-06,3,98.84,Online,98.84
205,114,2357,2023-11-22,4,195.54,In-Store,195.54
206,106,2330,2025-09-14,1,117.81,In-Store,117.81
207,180,2827,2023-05-25,4,77.62,Online,77.62
208,152,2185,2025-10-17,1,106.63,In-Store,106.63
209,142,2010,2025-04-24,1,248.84,In-Store,248.84
210,158,2321,2025-10-17,5,126.55,In-Store,126.55
211,132,2372,2025-07-28,4,243.25,In-Store,243.25
212,165,2445,2025-06-24,4,240.59,Online,240.59
213,183,2076,2025-06-21,3,209.04,In-Store,209.04
214,191,2108,2025-03-03,4,217.51,Online,217.51
215,153,2132,2025-08-04,1,55.98,In-Store,55.98
216,163,2016,2022-11-08,4,186.58,Online,186.58
217,144,2955,2023-11-06,3,15.05,In-Store,15.05
218,106,2822,2025-05-05,5,117.81,Online,117.81
219,112,2889,2025-05-18,3,80.36,Online,80.36
220,101,2780,2023-10-11,1,187.97,In-Store,187.97
221,177,2686,2025-11-28,3,246.12,Online,246.12
222,156,2446,2025-10-16,2,22.14,In-Store,22.14
223,200,2520,2025-05-30,3,241.01,Online,241.01
224,139,2518,2025-10-08,5,168.34,In-Store,168.34
225,169,2137,2023-11-02,2,167.77,In-Store,167.77
226,133,2822,2024-11-29,2,212.0,Online,212.0
227,140,2266,2025-10-23,3,136.64,Online,136.64
228,130,2021,2024-10-17,2,190.21,Online,190.21
229,181,2438,2025-02-27,2,175.0,Online,175.0
230,127,2901,2023-10-16,1,200.1,In-Store,200.1
231,166,2070,2025-11-05,1,152.81,Online,152.81
232,163,2374,2025-08-20,4,186.58,In-Store,186.58
233,174,2525,2024-12-15,3,139.03,In-Store,139.03
234,150,2839,2025-11-29,5,33.26,In-Store,33.26
235,122,2028,2025-05-08,2,167.31,In-Store,167.31
236,186,2824,2025-03-30,2,28.06,Online,28.06
237,103,2381,2022-09-19,5,111.26,In-Store,111.26
238,160,2905,2025-09-11,5,232.36,Online,232.36
239,128,2259,2025-05-24,3,101.59,In-Store,101.59
240,108,2953,2023-07-19,4,61.68,Online,61.68
241,123,2259,2025-12-11,5,73.57,In-Store,73.57
242,160,2347,2024-10-14,1,232.36,Online,232.36
243,139,2892,2025-08-01,2,168.34,In-Store,168.34
244,132,2589,2025-07-30,1,243.25,In-Store,243.25
245,150,2245,2025-05-14,5,33.26,In-Store,33.26
246,128,2558,2024-12-05,5,101.59,In-Store,101.59
247,122,2531,2024-02-17,3,167.31,In-Store,167.31
248,110,2273,2024-10-12,3,73.49,Online,73.49
249,103,2043,2025-09-21,4,111.26,Online,111.26
250,122,2420,2025-06-10,3,167.31,In-Store,167.31
251,179,2430,2025-11-09,4,37.7,In-Store,37.7
252,123,2315,2025-01-15,2,73.57,Online,73.57
253,130,2589,2025-07-27,2,190.21,Online,190.21
254,103,2693,2025-02-14,2,111.26,In-Store,111.26
255,111,2175,2025-01-16,2,243.55,Online,243.55
256,174,2501,2024-10-18,4,139.03,Online,139.03
257,150,2865,2023-10-29,4,33.26,In-Store,33.26
258,180,2450,2024-11-15,5,77.62,In-Store,77.62
259,143,2962,2025-09-22,4,39.04,In-Store,39.04
260,147,2209,2024-02-09,5,133.4,Online,133.4
261,120,2804,2024-07-25,1,203.21,Online,203.21
262,130,2532,2022-11-20,2,190.21,In-Store,190.21
263,176,2692,2024-09-18,1,78.4,In-Store,78.4
264,187,2609,2025-06-15,3,149.8,In-Store,149.8
265,172,2957,2024-09-01,5,232.96,In-Store,232.96
266,119,2916,2025-07-13,1,212.28,In-Store,212.28
267,105,2730,2023-02-10,3,57.72,Online,57.72
268,177,2813,2025-03-30,5,246.12,Online,246.12
269,104,2328,2024-05-26,3,65.84,In-Store,65.84
270,159,2214,2025-03-21,4,49.51,In-Store,49.51
271,182,2520,2025-01-30,4,227.28,In-Store,227.28
272,193,2789,2024-10-24,2,74.03,Online,74.03
273,117,2045,2025-09-28,3,156.19,In-Store,156.19
274,159,2017,2025-02-01,5,49.51,In-Store,49.51
275,110,2270,2024-12-16,1,73.49,Online,73.49
276,196,2140,2025-04-29,2,168.41,In-Store,168.41
277,168,2892,2024-07-31,3,152.68,In-Store,152.68
278,144,2804,2025-09-22,4,15.05,In-Store,15.05
279,193,2235,2024-12-30,3,74.03,In-Store,74.03
280,140,2269,2024-09-30,2,136.64,Online,136.64
281,132,2155,2022-07-07,2,243.25,Online,243.25
282,108,2117,2025-07-25,3,61.68,Online,61.68
283,116,2706,2025-03-13,2,98.84,In-Store,98.84
284,181,2698,2023-07-01,1,175.0,Online,175.0
285,159,2509,2025-06-27,5,49.51,Online,49.51
286,140,2956,2023-09-14,4,136.64,Online,136.64
287,103,2150,2023-05-23,3,111.26,Online,111.26
288,189,2422,2025-01-11,4,60.42,In-Store,60.42
289,153,2751,2024-06-08,2,55.98,In-Store,55.98
290,183,2644,2025-06-02,2,209.04,Online,209.04
291,110,2698,2025-11-15,2,73.49,Online,73.49
292,152,2190,2022-05-03,3,106.63,In-Store,106.63
293,138,2362,2025-02-06,4,185.66,In-Store,185.66
294,154,2925,2025-08-18,4,111.25,Online,111.25
295,199,2696,2025-08-19,5,37.68,Online,37.68
296,148,2068,2025-02-28,5,139.42,In-Store,139.42
297,131,2191,2025-01-04,5,114.34,In-Store,114.34
298,109,2335,2025-07-08,5,101.18,In-Store,101.18
299,154,2942,2024-01-01,4,111.25,Online,111.25
300,148,2618,2025-12-07,1,139.42,In-Store,139.42
301,114,2109,2024-07-10,3,195.54,In-Store,195.54
302,135,2855,2023-11-01,2,87.8,In-Store,87.8
303,199,2514,2024-10-17,1,37.68,Online,37.68
304,102,2349,2025-05-06,3,186.75,In-Store,186.75
305,153,2757,2025-05-07,1,55.98,In-Store,55.98
306,155,2556,2025-02-16,3,219.88,Online,219.88
307,140,2401,2025-12-17,4,136.64,In-Store,136.64
308,120,2015,2025-06-28,2,203.21,Online,203.21
